,job_name,job_score,number_of_jobs,unemployment_rate,median_salary,job_dscription
29,Occupational Therapy Assistant,6.7,15600,N/A,62940,"Occupational therapy assistants help people get back into the routine of living. The everyday tasks that most of us take for granted – getting dressed or brushing our teeth, for instance – are an occupational therapy assistant's crowning achievements. But what's the difference between an occupational therapist and an occupational therapy assistant? Michele Luther-Krug, an occupational therapy assistant working for Piedmont Healthcare in Atlanta, gives a good explanation: ""An OTA provides treatment according to goals written by the OT in the plan of care."" So, it's a collaborative effort, with the occupational therapist taking the lead.Patients require occupational therapy for a number of reasons. A fluke accident or a stroke or lifelong conditions like cerebral palsy will bring patients to an occupational therapy office. And OTAs will help these patients to live independent – or as independent as possible – lives by teaching them ways to perform the daily tasks and routines of life. An OTA, for instance, will help construct a plan so that a wheelchair-bound child can navigate the school hallways, locker room and cafeteria on his or her own. An OTA will also create plans for those with spinal cord injuries, and they'll explain to these patients how to live with their new paralysis. The goals for each patient will vary depending on his or her condition.The Bureau of Labor Statistics projects 36.1 percent employment growth for occupational therapy assistants between 2020 and 2030. In that period, an estimated 15,600 jobs should open up."
30,Occupational Therapist,6.7,23000,3.5,86280,"Occupational therapists work with patients to build or restore their abilities to perform the daily tasks of life. Occupational therapy can look very different depending on what sorts of issues the patient is dealing with, whether mental, physical, emotional or developmental. After a thorough assessment of a patient, the OT will then create a plan and work toward helping that patient meet certain goals, which may range from eating and bathing to operating a computer and maintaining a budget. Their work also includes keeping meticulous records on the patient's progress. Occupational therapists work in a number of diverse environments, such as hospitals, rehabilitation centers, schools, small medical offices and clients' homes. They also work in policy and administration, as well as research and academia.When Samia Rafeedie was an undergrad at The Ohio State University, she sought out the help of an academic adviser. She knew she wanted to work in health care, but she just didn't know ""where"" in health care. Her adviser suggested occupational therapy. Rafeedie remembers thinking, ""I don't want to help people find jobs."" But she followed up her adviser's recommendation with a visit to an open house in the School of Allied Medicine, where health care professionals from different fields described their work. She'll never forget what an occupational therapist said there. ""Physical therapy teaches people how to walk, and occupational therapy teaches them how to dance.""Rafeedie, now an associate professor of clinical occupational therapy and director of the professional program at the University of Southern California Chan Division of Occupational Science and Occupational Therapy, was sold on the profession. ""We help people do the every day 'occupations' of life, regardless of age, ability or disability,"" she writes in an email. The field has seen some vast changes in the last couple of decades. One of the most exciting, writes Rafeedie, is the inception of occupational science. This is ""the development of the science that validates what we do as occupational therapists, as it studies how meaningful activities – occupations – impact health, wellness, and well-being."" There's also been an increased drive for further research and clinical outcomes, as well as a push for more preventive and proactive paradigms as opposed to just reactionary rehabilitative paradigms.The Bureau of Labor Statistics projects 17.5 percent employment growth for occupational therapists between 2020 and 2030. In that period, an estimated 23,000 jobs should open up."
31,Web Developer,6.7,25500,3,77200,"Web developers create and maintain websites and web applications, and they use web-facing technology to build software.They talk with clients to understand their needs and build websites that meet them. Other duties may include:working with graphic designers on site layout or doing design work themselves creating mockupstesting and problem-solving meeting with various stakeholders. “A lot of the job is explaining technical concepts in nontechnical ways,” says Michael Panik, Birmingham, Alabama-based technical lead for Alloy, a software firm and digital strategy company. “You have to be able to talk about what you do, and you have to be able to convince people that it’s worth doing. But the rest of the time is a lot of being in the code.”Web developers must possess good research skills as they try to understand clients’ needs and create desired products. They must have good project management and logical reasoning skills and should communicate effectively with clients and teammates.The scope of a web developer’s job can depend on their specialty and what they’re most experienced in. Back-end developers are responsible for writing the code that stores and processes data on a site. Front-end developers focus more on the user interface and need an eye for design. Full-stack developers have some proficiency in both front- and back-end web development.The Bureau of Labor Statistics projects 12.8 percent employment growth for web developers between 2020 and 2030. In that period, an estimated 25,500 jobs should open up."
32,Fashion Designer,6.7,100,N/A,75810,"Fashion designers come up with concepts for clothing, accessories and footwear, and they create patterns based on those ideas. In an atelier, or fashion design workshop, fashion designers bring their patterns to life by choosing and cutting fabric, and sewing and draping the clothing on mannequins. Other fashion designers might send off their patterns to third parties to make for them.Fashion designers may showcase their designs in fashion or design shows. They also oversee production of the pieces and the marketing to consumers. “As you know, in fashion, one day you’re in. And the next day you’re out,” says Heidi Klum, model and former host of the reality TV show “Project Runway.” Utkarsh Shukla, a patternmaker with New York design company Peter Do, agrees. It’s true that the industry is volatile, but there’s nothing like it either, he says. Shukla, who grew up in India, was always drawn to art. He noticed that when he watched films, he would pay attention to the clothes and how they were made. “I also had the luxury of growing up with amazing women in my life and I would see how they would dress up,” he says. “There was always this idea of confidence that came from clothing, and that was very powerful to me.”Now he works at Peter Do, where he makes patterns for fashionable-yet-functional pieces for women who appreciate the idea of luxury and high quality craftsmanship. “It’s amazing,” he says.The Bureau of Labor Statistics projects 0.5 percent employment growth for fashion designers between 2020 and 2030. In that period, an estimated 100 jobs should open up."
33,Substance Abuse and Behavioral Disorder Counselor,6.6,75100,4,47660,"Substance abuse and behavioral disorder counselors provide treatment and support for those struggling with an addiction to drugs or alcohol, or for those burdened by an eating disorder or a behavioral problem. These mental health professionals can be a guiding force for patients integrating back into areas of their lives where their behavior has left a destructive trail, including work and personal relationships. Part of that process involves consulting with the families of patients about the treatment options best suited for their loved ones. But substance abuse and behavioral disorder counselors don't only offer their expertise to patients. Counselors often run outreach programs to warn others about the dangers of addiction and encourage a healthy lifestyle. Hearing about the devastating effects addiction has had on a person's life can be an emotional experience every day, so those who wish to enter this field should have a temperament that mixes empathy with patience.The Bureau of Labor Statistics projects 22.9 percent employment growth for substance abuse and behavioral disorder counselors between 2020 and 2030. In that period, an estimated 75,100 jobs should open up."
34,Public Relations Specialist,6.6,31200,2.7,62810,"Public relations specialists aim to generate positive publicity for their clients and enhance their reputation. They may serve as the press secretary for the president of the United States, a communications director for Google or a media specialist for a small nonprofit.As a public relations specialist, it's your job to cultivate and maintain close and productive relationships with journalists, bloggers and opinion leaders. You'll be asked to create print and web-based communications materials – which may include story pitches, press releases, Q&A interviews, presentations, video scripts and speeches – that are consistent with your client's image and message. Other responsibilities range from acting as a company spokesperson for a variety of media inquiries and speaking directly to the press on behalf of your client – sometimes deflecting negative criticism – to preparing your client for press conferences, media interviews and speeches. Social media outreach has become an integral part of a PR specialist's job in recent years. ""With the onset of social infrastructure such as Facebook, LinkedIn, Twitter and Pinterest, combined with the versatility of web tools, the jobs of public relations specialists are growing at a fast clip,"" says Gerard Corbett, founder and chief executive officer of Redphlag LLC, a public relations firm.The Bureau of Labor Statistics projects 11.4 percent employment growth for public relations specialists between 2020 and 2030. In that period, an estimated 31,200 jobs should open up."
35,Pediatrician,6.5,-500,0.7,177130,"Pediatricians are doctors concerned with the physical, emotional and social well-being of children from infancy to young adulthood. Although it is a specialty in itself, pediatrics also has multitudinous subspecialties ranging from neonatology, oncology and hematology to developmental-behavioral pediatrics and psychiatry. Those who choose to be pediatricians have to love being around children and advocating for children's issues.Steven Abrams lists many reasons pediatricians like him choose their occupation. ""We've gone to medical school and found that we like to be around kids,"" he says. ""The diseases children have are usually not self-inflicted, so you have the chance to do more preventative care."" One of Abrams' reasons particularly stood out: ""It's one of the few jobs where a doctor gets to hug his patients,"" explains the director of the Dell Pediatric Research Institute and professor of pediatrics at Dell Medical School at The University of Texas at Austin.For most kids, interaction with a primary care pediatrician starts in infancy, far before they've developed communication skills. ""We don't always have the ability, especially with babies, to ask them to describe their pain,"" Abrams says. ""We use a pain scale that's based on heart rate and movement, and also a lot of visual experience. You become an expert at looking at children to determine if they're sick."" The profession is also unique because it includes a touch of advocacy. ""There's no AARP for children,"" Abrams says. ""So often, pediatricians are the public voice. When I was in medical school I had no idea how much of the job involves advocacy and standing up for children. … You're considered the expert on children's issues, and that wasn't a part of the job that I'd naturally known."" These doctors exercise their voice on a smaller scale, too. ""Our assumption is that the parents always know best for their children,"" Abrams says. ""But there are standards of behavior we expect as well, and we have to make sure the parents are acting in their children's best interests. You spend a lot of time talking to the parents about the care you're giving their child, but you have to explain it to your patient, the child, as well."" The Bureau of Labor Statistics projects -1.8 percent employment growth for pediatricians between 2020 and 2030. In that period, an estimated 500 jobs will be lost."
36,Optometrist,6.5,3900,N/A,118050,"Optometrists meet with patients and perform different tests to determine common eyesight issues, such as near- or farsightedness, for which they can prescribe glasses or contacts. They can also test patients for eye diseases, such as glaucoma, for which they can prescribe medicines. Optometrists can also perform vision therapy for other issues, such as eye-movement or eye-tracking problems. Sometimes optometrists run across a problem like diabetic retinopathy, which is symptomatic of a systemic problem like diabetes. Eyesight is invaluable for everyday tasks like walking through a doorway or driving a car and also for pleasures like watching a sunset, reading a book or a viewing a film. If you were to take a poll on which of the five senses are most important to people, sight would probably be high on the list. That's why an optometrist's job is so important. ""We want to help patients achieve their best vision on a day-to-day basis,"" says Teri Geist, a practicing optometrist and American Optometric Association trustee. The Bureau of Labor Statistics projects 9.0 percent employment growth for optometrists between 2020 and 2030. In that period, an estimated 3,900 jobs should open up."
37,Database Administrator,6.5,13200,1.5,98860,"Database administrators – DBAs, for short – set up databases according to a company's needs and make sure they operate efficiently. They will also fine-tune, upgrade and test modifications to the databases as needed. With information so readily available in this era of apps, tablets and social media, data has become the new treasure organizations must protect and cherish. More than anyone else, database administrators are relied on as the guardians of this treasure, implementing security measures to ensure sensitive data doesn't fall into the hands of unruly pirates while also managing the databases that help store and organize it.  The job involves resolving complex issues, so attention to detail is an essential trait in this profession, as is a passion for problem-solving. Communication skills are also important since DBAs often work as part of a team with computer programmers and managers. Ongoing maintenance of a database requires being on call. These professionals are employed in a wide range of settings in the public and private sectors, and some DBAs work as consultants to organizations. The Bureau of Labor Statistics projects 7.8 percent employment growth for database administrators between 2020 and 2030. In that period, an estimated 13,200 jobs should open up."
38,Epidemiologist/Medical Scientist,6.4,2300,2.2,74560,"Epidemiologists examine the causes of diseases to prevent them from transmitting and recurring, including investigating the triggers of an infection for a public health agency or collecting blood samples at an outpatient care center. These medical scientists might work in hospitals, laboratories or universities, or for pharmaceutical companies or health insurers.  At a hospital, ""the role is basically like a public health officer,"" says Tom Talbot, chief hospital epidemiologist at Vanderbilt University Medical Center in Nashville, Tennessee.  An epidemiologist, also known as a medical scientist, conducts infection surveillance – tracking infections, reading data, assessing where problems may reside and deciding where intervention is needed. Talbot says epidemiologists have the opportunity to provide thoughtful, scientific analysis to help improve the care of patients and the safety of health care workers. When there was an outbreak of Ebola in the U.S., for example, epidemiologists had their work cut out for them.  ""There are lots of unanswered questions that bright, energetic people are needed to help address,"" he says. The Bureau of Labor Statistics projects 29.6 percent employment growth for epidemiologists or medical scientists between 2020 and 2030. In that period, an estimated 2,300 jobs should open up."
39,Home Health Aide,6.4,1129900,6.9,27080,"Home health aides provide personal care for individuals in the client’s home. They assist other professionals – such as nurses, social workers or therapists – by reinforcing things like the individual’s eating schedule and exercise regimen. Home health aides also help with activities around the house as needed and allowed by the client.Oftentimes, people who require a home health aide are not able to do simple things for themselves, such as carrying groceries into the house, according to Andrea Devoti, executive vice president of the National Association for Home Care and Hospice. She says that “You may have to assist the person in getting themselves in or out of bed, (and) in and out of a chair, bathtub or shower, and that’s a partial lift.“There are other times that you may do nothing more than provide companionship and just observe how they’re doing and talk to them,” she adds.The Bureau of Labor Statistics projects 32.6 percent employment growth for home health aides between 2020 and 2030. In that period, an estimated 1,129,900 jobs should open up."
40,Personal Care Aide,6.4,1129900,7.4,27080,"Personal care aides assist people with chronic diseases, physical disabilities and mental ailments by helping them prepare meals, get dressed in the morning and go about their daily tasks. Without the assistance of a personal care aide, many of these often elderly people would be unable to complete the tasks of basic living. Compassion is a requirement for anyone interested in this line of work. ""You have to have a strong interest in caring for others and an ability to be very patient and understanding,"" says Lisa Gurgone, executive director of Mass Home Care, a nonprofit for elder care and community based services in Massachusetts. Personal care aides work in a variety of environments, including patient homes, small residential facilities, group homes and large-scale care communities. Unlike home health aides, personal care aides don't perform medical-related tasks. Their work often begins post-surgery, after a client has been patched and mended by a medical professional. The Bureau of Labor Statistics projects 32.6 percent employment growth for personal care aides between 2020 and 2030. In that period, an estimated 1,129,900 jobs should open up."
41,Accountant,6.4,96000,3.8,73560,"An accountant is a person who keeps or inspects financial records. They're numbers people who excel at organization and detail-oriented work. Since they deal with money – sometimes significant amounts of it – accountants must also possess a high degree of integrity. And because they're constantly interacting with clients, accountants should be effective communicators.Whether it's the money-laundering stoner in ""Weeds"" or the dorky auditor in ""Parks and Recreation,"" pop culture tends to portray an unsavory picture of accountants, but this profession doesn't deserve such a bad reputation. Accountants make a pretty good living, and they have a lot of job security. After all, as long as people make money, they'll need other people to handle it for them.Patty Pogemiller, the managing director of global talent experience for Deloitte, one of the world's ""Big Four"" accounting firms, writes in an email, ""Problem solving skills are essential in a client business like professional services. Employers are looking for people who demonstrate an ability to think analytically and approach a problem in a structured and methodical way. Can they objectively analyze and solve an issue? And once they have a solution, they must have the ability to communicate it to others – their clients, managers and fellow team members.""In addition to preparing taxes for individuals, public accountants can also perform audits, prepare taxes and provide consulting for corporations, nonprofit organizations and governments. Internal accountants create processes to find and eliminate financial waste and fraud. Management accountants record and analyze financial information. Government accountants – at the federal, state or local level – maintain records of government agencies and audit private businesses or individuals whose activities fall under government regulation or taxation.The Bureau of Labor Statistics projects 6.9 percent employment growth for accountants between 2020 and 2030. In that period, an estimated 96,000 jobs should open up."
42,Civil Engineer,6.4,25300,1.9,88570,"Civil engineers are the masterminds behind bridges, tunnels, roads, dams and water supply systems. In other words, they design, build, supervise and maintain the infrastructure we use every day.“Civil engineers are involved in all parts of the built environment and in the protection and restoration of the natural environment,” says Maria Lehman, U.S. infrastructure market leader for professional services firm GHD and 2022-2023 American Society of Civil Engineers (ASCE) president. “I do this thing with middle school students: I challenge them to tell me something they don’t think a civil engineer has been involved in, and I haven’t been stumped in 30 years. Based on the broadness of the profession, it has (an) incredible impact on our daily lives.”Some job responsibilities for civil engineers might include analyzing test results for soil or building materials, overseeing survey operations, reviewing potential costs and performing risk analysis for projects, or presenting information during public meetings.“We’ve been doing the Report Card for America’s Infrastructure since 1998,” Lehman says. But in 2021, “When we got the (Infrastructure Investment and Jobs Act) passed, there was a significant milestone in being able to talk about how important infrastructure is and the impacts of not investing in that. So I think we have more visibility and optics to the general public than we may have had in the past.”The Bureau of Labor Statistics projects 8.2 percent employment growth for civil engineers between 2020 and 2030. In that period, an estimated 25,300 jobs should open up."
43,Anesthesiologist,6.4,-200,0.7,208000,"Anesthesiologists are the physicians responsible for administering general or regional anesthesia, which allows surgeons and other physicians to complete invasive procedures with little to no discomfort to the patient. Anesthesiologists also closely monitor a patient's vital signs and critical life functions before, during and after a surgery – making rapid decisions on limited data when required. To say that the profession is stressful is an understatement.More than 150 years ago, ether – the first anesthetic – was hailed the ""greatest gift ever made to suffering humanity."" Today the drugs are different, but any woman who has experienced the excruciating pain of contractions followed by the amazing relief of an epidural will tell you that anesthesia remains one of the greatest gifts to humanity.Anesthesia is often portrayed as going to sleep, but J.P. Abenstein, an associate professor of anesthesiology at the Mayo Medical School, explains that general anesthesia is more akin to a powerful drug-induced coma. Anesthesiologists typically administer a combination of intravenous drugs and inhaled gasses to render a patient unconscious and pain-free. For operations on the head, chest or abdomen, anesthesiologists also have to support a patient's breathing with a breathing tube. So it's no wonder that Abenstein describes the job like this: ""An anesthesiologist keeps a patient alive during an invasive procedure that would otherwise kill them.""Anesthesiologists may also employ sedation, in which medication is administered intravenously to calm the patient. With regional anesthesia, as opposed to general, anesthesiologists inject medications near a knot of nerves to prevent pain signals from traveling to the brain – in other words, numb a certain part of the body. Patients who are given regional anesthesia are awake, although they may also be sedated intravenously, which helps them relax, feel drowsy or even sleep, depending on the level of sedation.Abenstein says the breadth of the profession has dramatically expanded in the last decade. Anesthesiologists still work in hospital operating rooms, but their expertise is also needed in other places, including invasive radiology, gastrointestinal endoscopy, electrophysiology and more. The Bureau of Labor Statistics projects -0.5 percent employment growth for anesthesiologists between 2020 and 2030. In that period, an estimated 200 jobs will be lost."
44,Obstetrician and Gynecologist,6.4,-400,0.7,208000,"Obstetricians and gynecologists bring new life into the world and care for the spectrum of women's reproductive health. Obstetrics is the surgical field that deals in childbirth, whereas gynecology is the field of medicine concerned with women's health, especially their reproductive health. One can be a gynecologist and not an obstetrician, though one cannot be an obstetrician without being a gynecologist. OB-GYNs see patients in physicians' offices for routine ""well-woman"" exams, which could include contraceptive management and HPV screening. Mark S. DeFrancesco, former president of the American College of Obstetricians and Gynecologists, writes in an email, ""You cannot imagine what it feels like to deliver a baby – to be the first person to hold another new life in your hands and help create a new family!"" They also assist patients who come to them with issues like abnormal bleeding. ""To be able to accurately diagnose and successfully treat these problems is extremely gratifying,"" DeFrancesco says. And of course, OB-GYNs also work in the labor and delivery section of hospitals, monitoring mothers and babies during labor and – when things don't go as planned – making medical decisions to protect the lives of both. Similar to other health care professions, obstetrics and gynecology is not without its stresses. According to DeFrancesco, OB-GYNs worry that they might have missed some problem or sign of illness, that an extremely rare tragedy will befall one of their labor and deliveries and that they might be sued for medical malpractice even if they made no mistakes. DeFrancesco says this field is especially vulnerable, since OB-GYN patients are predominantly young and presumably healthy. ""When things go wrong, it is very unexpected,"" he says. Like other fields in medicine, DeFrancesco sees obstetrics and gynecology moving more toward preventing problems rather than just fixing them. ""Studies show that the majority of women in childbearing years only see their OB-GYN on a regular basis and rarely seek out an otherwise designated primary care doctor,"" he explains. So, who better to address health concerns than the OB-GYNs who see these patients regularly? ""We are poised to go beyond the Pap test and the pelvic exam and provide more comprehensive care for our patients,"" DeFrancesco says. ""At least in terms of broader screening for other health conditions, as well as more directly addressing with our patients their weight and other lifestyle choices."" 

The Bureau of Labor Statistics projects -2.1 percent employment growth for obstetricians and gynecologists between 2020 and 2030. In that period, an estimated 400 jobs will be lost."
45,High School Teacher,6.4,78200,3.7,62870,"High school teachers instruct students in upper grades on subjects to prepare them for graduation and higher education. Teachers at this level usually focus on a particular subject for multiple grades rather than covering most major subjects for one grade like primary school teachers do.“I’m currently responsible for teaching all of the high school grades, ninth through 12th, art classes,” says Ashley Delaney, a high school teacher in Paterson, New Jersey. “In addition to that, I am responsible for our chapter of the National Art Honor Society, and I have an art club. I’m responsible for coverage of other teachers from time to time and whatever tasks the school deems necessary.”In addition to lesson planning and instruction, a high school teacher’s duties often include grading tests, papers or projects; supervising students on field trips, in the lunchroom or study hall; preparing students for standardized tests; and meeting with parents to discuss students’ progress.The Bureau of Labor Statistics projects 7.8 percent employment growth for high school teachers between 2020 and 2030. In that period, an estimated 78,200 jobs should open up."
46,Dentist,6.3,9800,5.5,158940,"Dentists identify and treat problems concerning a patient's mouth, gums and teeth. Their duties include extracting teeth, fitting dentures and filling cavities. Some choose to specialize in areas that range from treating serious oral problems and diseases to straightening teeth and performing oral surgeries. They are assisted by dental hygienists, who complete a patient's teeth cleaning, and by dental assistants, who usually help with record keeping and instrument sterilization.Many people dread the dentist. When they open wide, they're afraid what the dentist will find. Yet another cavity? Or even worse – will it be time for a root canal? Will the dentist embarrass them about their flossing frequency or their coffee drinking? Will they push procedures that patients don't want? According to Ada S. Cooper, a consumer adviser for the American Dental Association and dentist with a private practice in New York City, these concerns are why establishing trust is so important. ""Patients have to know that dentists are doing what's best for them,"" Cooper says. And they can do this by being honest, ethical and compassionate – three qualities Cooper looks for when she is hiring at her practice. She also highlights the importance of good communication skills. The Bureau of Labor Statistics projects 8.1 percent employment growth for dentists between 2020 and 2030. In that period, an estimated 9,800 jobs should open up."
47,Computer Network Architect,6.3,9000,1.2,116780,"Computer network architects design, build and maintain a variety of data communication networks, from expansive cloud infrastructures to smaller intranets. Along with a host of technical skills, computer network architects also have a deep understanding of the company or organization's business plans and objectives. They also need business acumen to do everything from budgeting the network design and implementation to managing a staff. If you've ever saved something to the cloud, then you've depended on the handiwork of a computer network architect. ""You will have to constantly learn,"" says Peter Steenkiste, a professor of computer science and electrical and computer engineering at Carnegie Mellon University in Pittsburgh. ""You need to be very much aware of not just about the technologies available today but about the trends. A lot of the designing of networks is effectively upgrading and expanding the networks."" As companies and firms expand their IT networks, they'll increasingly rely on these professionals to build new networks and upgrade existing ones. The popularity of cloud computing is also expected to drive the need for more computer network architects. The Bureau of Labor Statistics projects 5.5 percent employment growth for computer network architects between 2020 and 2030. In that period, an estimated 9,000 jobs should open up."
48,Licensed Practical and Licensed Vocational Nurse,6.3,63800,3.8,48820,"Licensed practical and licensed vocational nurses check vital signs, perform enemas, install catheters, dress wounds, deliver medicine, massage muscles, assist patients in maintaining their hygiene, help with feeding (for infants to the elderly), start IVs, monitor medical equipment and so much more. There is no health care professional who doesn't perform an essential task, but licensed practical and licensed vocational nurses have a suite of responsibilities that are truly basic yet absolutely imperative for quality medical care. Despite a convoluted name, the true differences between a licensed practical nurse, or an LPN, and a licensed vocational nurse, or an LVN, are ones of semantics and location. LVN is the term for this occupation in California and Texas. Within the nursing hierarchy, LPNs and LVNs usually supervise nursing aides and orderlies, but work under registered nurses and nurse practitioners.The nature of their work means licensed practical and licensed vocational nurses often have the most intimate, hands-on relationship with patients of any other professional in this industry's sphere. Having bedside manner isn't just a catchphrase for this job - it's a necessity for the patient's well-being and for the nurse's career advancement.The Bureau of Labor Statistics projects 9.3 percent employment growth for licensed practical and licensed vocational nurses between 2020 and 2030. In that period, an estimated 63,800 jobs should open up."
49,Wind Turbine Technician,6.2,4700,N/A,56230,"Wind turbine technicians, also known as wind techs, are the professionals in charge of inspecting and maintaining wind turbines. That means that most of their days are spent way up high in a turbine performing maintenance or troubleshooting the turbine's electrical, mechanical or hydraulic components and replacing or fixing malfunctioning components.Auston Van Slyke, former program director of the Wind Energy Technology program at Ecotech Institute in Aurora, Colorado, began thinking about wind turbines in 2006 as a Marine.""I got lost on deployment in Japan and stumbled across these wind turbines,"" Van Slyke says. ""They were massive, hundreds of feet tall, and I guess that's what sparked my interest.""When Van Slyke transitioned out of the military, a career as a wind turbine technician appealed to him. Along with the technical aspect of working on turbines, from the hydraulics to the composites, the profession also offered good pay and benefits, as well as the ability to travel.The Bureau of Labor Statistics projects 68.2 percent employment growth for wind turbine technicians between 2020 and 2030. In that period, an estimated 4,700 jobs should open up."
50,Psychiatrist,6.2,3500,6.2,208000,"Psychiatrists are physicians who diagnose, treat and work to prevent disorders relating to the mind and mental health. Having undergone medical school and psychiatry residency programs, these professionals are equipped to understand the complex relationships between ailments of the mind and body. They are also trained to evaluate the entire spectrum of a patient's health, make a diagnosis and design a treatment plan. Patients might suffer from mental health conditions, such as schizophrenia, bipolar disorder and depression, and receive a form of treatment known as psychotherapy – a fancy word for meetings in which a patient discusses his or her moods, problems and feelings with a psychiatrist. Psychiatrists can also prescribe a wide range of drugs or even recommend hospitalizations. For Judith Orloff, the last thing she wanted to be when she grew up was a doctor – even though she had 25 physicians in the family, including her mom and dad. ""I thought physicians were incredibly nice, but I found them to be a little boring,"" she says. But one day, she heard a voice telling her that she would, in fact, join the family trade. Intrigued, she signed up for a course at a community college, which eventually led to medical school at the University of Southern California, an internship at Wadsworth Veterans Hospital and a residency at the University of California – Los Angeles. Orloff has built her career as a motivational speaker, writer (""Emotional Freedom,"" her book on inner peace, is a New York Times bestseller), an assistant clinical professor of psychiatry at UCLA and a practicing psychiatrist in Santa Monica, California.Orloff hopes that more psychiatrists will take into account a patient's whole mind, body and spirit when evaluating, diagnosing and treating a patient. ""Integrating traditional medicine with complementary practices like energy work, spiritual beliefs, yoga and meditation is the best road [to treating patients],"" she says. The Bureau of Labor Statistics projects 12.5 percent employment growth for psychiatrists between 2020 and 2030. In that period, an estimated 3,500 jobs should open up."
51,Computer Systems Administrator,6.2,18800,2.1,84810,"Computer systems administrators set up and maintain an organization's computer servers. In a single day, they may encounter stacks of servers, dozens of crisscrossing network cables and major malfunctions with the hardware and software that runs the company's local area and wide area networks. A network and computer systems administrator's greatest contribution is maintaining an organization's work flow and keeping its lines of communication open. This work is not for the faint of heart. Since companies depend on their networks for so much of their work, problems must be corrected swiftly and completely. Aside from identifying network issues and fixing them, computer systems administrators must also make updates to all equipment and software so they're current. Another important aspect of the job is ensuring email and data storage networks work properly and employee workstations are connected to the central computer network. They also train new users on how to use relevant hardware and software. Some network and computer systems administrators also manage telecommunication networks so employees can work from home or on the road, which has become increasingly important in recent years as more employees connect outside the traditional office setting. As its low unemployment rate indicates, this is an in-demand profession that's expected to grow as employers invest in new technology and faster mobile networks. More administrators will also be needed to implement upgraded security measures to protect workplace computer systems. The Bureau of Labor Statistics projects 5.4 percent employment growth for computer systems administrators between 2020 and 2030. In that period, an estimated 18,800 jobs should open up."
52,Sales Manager,6.1,27900,4.5,132290,"Sales managers are responsible for orchestrating a company or organization’s sales team. Their job includes planning how best to utilize available resources, determining and addressing any changes necessary to meet customer needs, and helping their teams improve sales performance.“They have to have a focus on improving the effectiveness of the salespeople in the organization,” says Bob Kelly, chairman and founder of the Sales Management Association. “This has become an increasing part of the sales manager job, and it positions the sales manager as a force multiplier in the organization. This is why sales managers are so important because if they’re effective in this role, they can have a compounding influence in the organization.”A sales manager’s duties can differ depending on the size of their team and whether they work in a business-to-business environment, such as a manufacturer selling to a wholesaler, or a business-to-consumer setting, such as a car dealership or other retail establishment.But regardless of where they work, sales managers generally hire and train salespeople, create plans to attract and retain customers, set sales goals, assign sales territories (if applicable), and complete assigned administrative work. In some cases, they also may deal with customers directly.“It’s less important now that sales managers supervise and sort of make sure employees are doing the right things. We now have a lot of technology that can automate that,” Kelly says. “So the sales manager role as nanny is much less valuable to firms.”The Bureau of Labor Statistics projects 7.0 percent employment growth for sales managers between 2020 and 2030. In that period, an estimated 27,900 jobs should open up."
53,Recreation and Fitness Worker,6.1,179500,17.6,31250,"Recreation and fitness workers are found in various settings, including community centers, public pools, parks, gyms and nursing care facilities. And though many roles fall under the recreation and fitness worker career umbrella, those who work in these jobs have a common cause: to help people stay active and interact with other members of the community they call home.“I engage kids and families in the community by creating fun activities from structured play to cooking, creative exercises and fitness activities,” says Emily Braxton, family programs coordinator for the Arlington County Department of Parks and Recreation in Arlington, Virginia. “Our goals are really to build the community (and) help them stay active and fit and make friends.”The Bureau of Labor Statistics projects 27.0 percent employment growth for recreation and fitness workers between 2020 and 2030. In that period, an estimated 179,500 jobs should open up."
54,Orthodontist,6.1,500,5.5,208000,"Orthodontists are dental specialists who concentrate on fixing irregularities in teeth and jaws. They straighten teeth and help correct problems such as overbites and underbites. If you’ve ever had braces or a retainer to straighten your teeth, you can thank your orthodontist for creating a corrective treatment plan specifically for your needs. “In dental school, I was fascinated with how the face and jaws grow and how the teeth, jaws and a person’s smile affect how they feel about themselves,” says Chris Roberts, 2020-21 American Association of Orthodontists president and adjunct clinical associate professor of dentistry at the University of Michigan. “It takes many years of higher education to become an orthodontist, but it is the most rewarding career I can imagine.”The Bureau of Labor Statistics projects 8.1 percent employment growth for orthodontists between 2020 and 2030. In that period, an estimated 500 jobs should open up."
